Linjenr.,Varenummer,RoHS-kompatibel ved undtagelse,Noter,Antal,Producentens varenummer,Producent / beskrivelse,Lagerstatus,Enhedspris,Linjepris,Rabatpris
1,2492116,YES,,8.0,"BQ76PL536ATPAPTQ1","Battery Type:Li-Ion; Battery Protection:Over / Under Voltage; No. of Batteries:6; Shutdown Current:-; Battery IC Case Style:HTQFP; No. of Pins:64; Supply Voltage Min:7.2V; Supply Voltage",8,104.7200,837.76,,
2,1230455,No,,5.0,"OPA2333AIDG4","Bandwidth:350kHz; No. of Amplifiers:2; Slew Rate:0.16V/µs; Supply Voltage Range:1.8V to 5.5V; Amplifier Case Style:SOIC; No. of Pins:8; Operating Temperature Min:-40°C; Operating Temp",880,26.4000,132.00,,
3,1230458,YES,,10.0,"OPA333AIDG4","Bandwidth:350kHz; No. of Amplifiers:1; Slew Rate:0.16V/µs; Supply Voltage Range:1.8V to 5.5V; Amplifier Case Style:SOIC; No. of Pins:8; Operating Temperature Min:-40°C; Operating Te",121,14.1000,141.00,,
4,1892611,YES,,5.0,"ERTJ1VG103FA","Product Range:ERTJ Series; Thermistor Mounting:SMD; Zero Power Resistance at 25°C:10kohm; Operating Temperature Min:-40°C; Operating Temperature Max:125°C; Thermistor Terminals:SMD; SVHC:No SV",14018,3.6500,18.25,,
5,2453182,YES,,5.0,"HCPL2731SD","No. of Channels:2 Channel; Isolation Voltage:2.5kV; CTR Min:500%; Forward Current If Max:20mA; Optocoupler Case Style:Surface Mount DIP; No. of Pins:8Pins; Packaging:Cut Tape; Pro",153,18.9000,94.50,,
6,1776310,YES,,1.0,"AVR-CAN","Silicon Manufacturer:Atmel; Core Architecture:AVR; Core Sub-Architecture:AVR; Silicon Core Number:AT90; Silicon Family Name:AT90xxx; No. of Bits:8bit; Kit Contents:Board; Features:CAN C",9,240.5700,240.57,,
7,1670314,YES,,20.0,"ERJA1AJ270U","Product Range:AEC-Q200 ERJA1 Series; Resistance:27ohm; Power Rating:1.33W; Resistance Tolerance:± 5%; Voltage Rating:200V; Resistor Case Style:2512 Wide; Packaging:Cut Tape; Resistor",1296,7.0200,140.40,,
8,1741194,YES,,5.0,"SN74AUP1G14DBVT","Logic Type:Inverter; Output Current:4mA; No. of Inputs:1; Supply Voltage Min:0.8V; Supply Voltage Max:3.6V; Logic Case Style:SOT-23; No. of Pins:5; Operating Temperature Min:-40°C; O",817,2.9209,14.60,,
9,2008341,YES,,10.0,"CR0603-FX-1002ELF","Product Range:CR Series; Resistance:10kohm; Power Rating:100mW; Resistance Tolerance:± 1%; Voltage Rating:50V; Resistor Case Style:0603 [1608 Metric]; Packaging:Cut Tape; Resistor El",109698,0.1090,1.09,,
10,1085299,YES,,5.0,"74HCT04D","Logic Type:Inverter; Output Current:4mA; No. of Inputs:1; Supply Voltage Min:4.5V; Supply Voltage Max:5.5V; Logic Case Style:SOIC; No. of Pins:14; Operating Temperature Min:-40°C; Operat",5465,1.8500,9.25,,
11,2320813,YES,,20.0,"MC0603B104J160CT","Product Range:MC Series; Capacitance:0.1µF; Capacitance Tolerance:± 5%; Dielectric Characteristic:X7R; Voltage Rating:16V; Ceramic Capacitor Case:0603 [1608 Metric]; Operating Temperatur",24847,0.1480,2.96,,
12,1171085,Y-EX,,10.0,"MC0063W06031953K","Product Range:MC Series; Resistance:953kohm; Power Rating:63mW; Resistance Tolerance:± 1%; Voltage Rating:50V; Resistor Case Style:0603 [1608 Metric]; Packaging:Cut Tape; Resistor",16135,0.0119,0.12,,
13,1171020,Y-EX,,10.0,"MC0063W06031232K","Product Range:MC Series; Resistance:232kohm; Power Rating:63mW; Resistance Tolerance:± 1%; Voltage Rating:50V; Resistor Case Style:0603 [1608 Metric]; Packaging:Cut Tape; Resistor",4829,0.1130,1.13,,
14,2447368,YES,,10.0,"MCWR06X4022FTL","Product Range:MCWR Series; Resistance:40.2kohm; Power Rating:100mW; Resistance Tolerance:± 1%; Voltage Rating:50V; Resistor Case Style:0603 [1608 Metric]; Packaging:Cut Tape; Resistor",4820,0.0268,0.27,,

,,,,,,,Subtotal,1633.90
,,,,,,,Total,1633.90
,,,,,,,Fragt,0.00
,,,,,,,Moms,Unknown
,,,,,,,I alt,1633.90
